S.No,Crop,District,Year,Min Temp,Max. Temp,Total Rainfall,Total Yield,Crop_Type,estimated price
224,maize,SIDDIPET,2019,13.76,40.15,593.945,3304,Kharif,58150.4
233,maize,SURYAPET,2019,16.75,41.01,601.9147826,6339,Kharif,111566.4
242,maize,VIKARABAD,2019,14.1,40.01,521.8055556,3249,Kharif,57182.4
251,maize,WANAPARTHY,2019,16.49,40.71,504.1507143,3199,Kharif,56302.4
260,maize,WARANGAL RURAL,2019,14.67,41.3,834.2066667,7716,Kharif,135801.6
269,maize,WARANGAL URBAN,2019,14.9,41.37,674.2163636,6851,Kharif,120577.6
278,maize,YADADRI,2019,15.15,40.63,553.403125,3068,Kharif,53996.8
9,maize,ADILABAD,2018,12.46,41.66,884.2918056,4790,Kharif,84304
18,maize,BHADRADRI,2018,15.98,41.41,976.2786957,3983,Kharif,70100.8
27,maize,HYDERABAD,2018,17.75,39.8,635.1501563,0,Kharif,0
36,maize,JAGTIAL,2018,13.81,42.12,695.97875,5860,Kharif,103136
45,maize,JANGAON,2018,15.21,40.52,682.6244231,5611,Kharif,98753.6
54,maize,JAYASHANKAR,2018,13.75,42.09,973.075,7179,Kharif,126350.4
63,maize,JOGULAMBA,2018,16.6,40.57,453.645625,2785,Kharif,49016
72,maize,KAMAREDDY,2018,13.47,40.66,686.9798864,5909,Kharif,103998.4
81,maize,KARIMNAGAR,2018,14.29,41.84,646.7978125,6208,Kharif,109260.8
90,maize,KHAMMAM,2018,17.28,41.22,714.6277381,5892,Kharif,103699.2
99,maize,KOMARAM BHEEM,2018,12.41,41.67,857.882,5053,Kharif,88932.8
108,maize,MAHABUBABAD,2018,15.28,41.49,807.1160938,4246,Kharif,74729.6
117,maize,MAHABUBNAGAR,2018,15.48,40.06,474.7356731,1206,Kharif,21225.6
126,maize,MANCHERIAL,2018,13.37,42.55,831.5677778,4954,Kharif,87190.4
135,maize,MEDAK,2018,14.14,40.07,616.112875,2995,Kharif,52712
144,maize,MEDCHAL MALKAJG,2018,15.58,39.91,632.5989286,2886,Kharif,50793.6
153,maize,NAGARKURNOOL,2018,15.58,39.9,429.269625,667,Kharif,11739.2
162,maize,NALGONDA,2018,17.15,41.18,546.1699194,4900,Kharif,86240
171,maize,NIRMAL,2018,13.33,41.83,803.0723684,7544,Kharif,132774.4
180,maize,NIZAMABAD,2018,14.22,41.39,703.7388889,5716,Kharif,100601.6
189,maize,PEDDAPALLI,2018,14.06,42.38,714.3871429,6612,Kharif,116371.2
198,maize,RAJANNA,2018,12.84,41.38,635.6290385,5608,Kharif,98700.8
207,maize,RANGAREDDY,2018,14.66,39.1,491.5461111,762,Kharif,13411.2
216,maize,SANGAREDDY,2018,13.67,39.63,612.2584615,3130,Kharif,55088
225,maize,SIDDIPET,2018,13.8,39.92,597.5453409,2776,Kharif,48857.6
234,maize,SURYAPET,2018,17.51,41.36,585.3026087,5824,Kharif,102502.4
243,maize,VIKARABAD,2018,14.49,39.32,609.0333333,3295,Kharif,57992
252,maize,WANAPARTHY,2018,16.89,40.41,488.7001786,2958,Kharif,52060.8
261,maize,WARANGAL RURAL,2018,14.71,41.22,851.1166667,7568,Kharif,133196.8
270,maize,WARANGAL URBAN,2018,15.09,41.29,808.2336364,5438,Kharif,95708.8
279,maize,YADADRI,2018,15.31,40.33,513.0085938,2178,Kharif,38332.8
,paddy,ADILABAD,2020,12.34,42.66,1130.15,32708,Kharif,575660.8
,paddy,BHADRADRI,2020,16.42,42.65,1145.008696,39257,Kharif,690923.2
,paddy,HYDERABAD,2020,17.52,41.88,885.48125,0,Kharif,0
,paddy,JAGTIAL,2020,12.84,43.34,960.3555556,37956,Kharif,668025.6
,paddy,JANGAON,2020,15.99,41.87,978.6769231,37081,Kharif,652625.6
,paddy,JAYASHANKAR,2020,14.45,42.74,1135.705,33870,Kharif,596112
,paddy,JOGULAMBA,2020,16.79,42.73,540,29542,Kharif,519939.2
,paddy,KAMAREDDY,2020,13.45,42.33,1096.881818,31569,Kharif,555614.4
,paddy,KARIMNAGAR,2020,14.99,42.86,900.4125,38673,Kharif,680644.8
,paddy,KHAMMAM,2020,17.66,42.25,777.5047619,38691,Kharif,680961.6
,paddy,KOMARAM BHEEM,2020,12.65,42.13,1119.48,39716,Kharif,699001.6
,paddy,MAHABUBABAD,2020,16.19,42.95,938.4625,36272,Kharif,638387.2
,paddy,MAHABUBNAGAR,2020,15.42,42.19,579.4384615,39649,Kharif,697822.4
,paddy,MANCHERIAL,2020,14.15,42.94,1116.6,28809,Kharif,507038.4
,paddy,MEDAK,2020,13.57,42.09,1005.09,36668,Kharif,645356.8
,paddy,MEDCHAL MALKAJG,2020,15.78,41.72,946.8857143,28715,Kharif,505384
,paddy,NAGARKURNOOL,2020,15.79,42.24,543.63,35417,Kharif,623339.2
,paddy,NALGONDA,2020,17.13,42.72,785.216129,30954,Kharif,544790.4
,paddy,NIRMAL,2020,13.39,42.97,1247.821053,37199,Kharif,654702.4
,paddy,NIZAMABAD,2020,13.68,42.79,1252.888889,35499,Kharif,624782.4
,paddy,PEDDAPALLI,2020,14.89,42.81,941.8571429,34140,Kharif,600864
,paddy,RAJANNA,2020,13.15,42.95,1018.907692,39590,Kharif,696784
,paddy,RANGAREDDY,2020,14.39,41.39,635.7481481,38024,Kharif,669222.4
,paddy,SANGAREDDY,2020,12.83,41.8,942.6538462,29447,Kharif,518267.2
,paddy,SIDDIPET,2020,14.57,41.56,894.1818182,37397,Kharif,658187.2
,paddy,SURYAPET,2020,17.53,42.48,764.6434783,30712,Kharif,540531.2
,paddy,VIKARABAD,2020,14.04,41.63,943.2,37736,Kharif,664153.6
,paddy,WANAPARTHY,2020,17.18,42.46,572.2,35527,Kharif,625275.2
,paddy,WARANGAL RURAL,2020,15.17,42.37,1075.166667,39455,Kharif,694408
,paddy,WARANGAL URBAN,2020,15.79,42.57,1290.163636,38698,Kharif,681084.8
,paddy,YADADRI,2020,15.99,41.75,719.83125,39534,Kharif,695798.4
,paddy,ADILABAD,2019,12.69,41.62,848.3227778,32264,Kharif,583978.4
,paddy,BHADRADRI,2019,15.89,41.41,908.6626087,34674,Kharif,627599.4
,paddy,HYDERABAD,2019,17.67,39.85,774.113125,35416,Kharif,641029.6
,paddy,JAGTIAL,2019,13.49,42.14,540.5316667,30590,Kharif,553679
,paddy,JANGAON,2019,14.92,40.56,597.5669231,33769,Kharif,611218.9
,paddy,JAYASHANKAR,2019,13.76,42.04,815.85,38310,Kharif,693411
,paddy,JOGULAMBA,2019,16.42,40.7,525.2658333,37446,Kharif,677772.6
,paddy,KAMAREDDY,2019,13.21,40.59,757.7286364,33537,Kharif,607019.7
,paddy,KARIMNAGAR,2019,14.33,41.97,585.4225,29521,Kharif,534330.1
,paddy,KHAMMAM,2019,16.93,41.13,789.8538095,39230,Kharif,710063
,paddy,KOMARAM BHEEM,2019,12.73,41.52,654.488,38436,Kharif,695691.6
,paddy,MAHABUBABAD,2019,14.93,41.27,805.589375,29376,Kharif,531705.6
,paddy,MAHABUBNAGAR,2019,14.97,40.5,569.9465385,38943,Kharif,704868.3
,paddy,MANCHERIAL,2019,13.61,42.67,628.4933333,31976,Kharif,578765.6
,paddy,MEDAK,2019,13.78,40.25,563.8815,31919,Kharif,577733.9
,paddy,MEDCHAL MALKAJG,2019,15.64,40.28,804.51,35246,Kharif,637952.6
,paddy,NAGARKURNOOL,2019,15.29,39.95,422.9185,35240,Kharif,637844
,paddy,NALGONDA,2019,16.6,41.07,534.0377419,31805,Kharif,575670.5
,paddy,NIRMAL,2019,13.25,41.49,691.0947368,38137,Kharif,690279.7
,paddy,NIZAMABAD,2019,14.04,41.19,617.5703704,36264,Kharif,656378.4
,paddy,PEDDAPALLI,2019,13.76,42.17,549.5485714,39740,Kharif,719294
,paddy,RAJANNA,2019,12.78,41.48,526.4469231,33293,Kharif,602603.3
,paddy,RANGAREDDY,2019,14.6,39.61,578.7140741,36222,Kharif,655618.2
,paddy,SANGAREDDY,2019,13.57,39.79,661.6261538,34024,Kharif,615834.4
,paddy,SIDDIPET,2019,13.76,40.15,593.945,36720,Kharif,664632
,paddy,SURYAPET,2019,16.75,41.01,601.9147826,31796,Kharif,575507.6
,paddy,VIKARABAD,2019,14.1,40.01,521.8055556,31074,Kharif,562439.4
,paddy,WANAPARTHY,2019,16.49,40.71,504.1507143,34310,Kharif,621011
,paddy,WARANGAL RURAL,2019,14.67,41.3,834.2066667,36041,Kharif,652342.1
,paddy,WARANGAL URBAN,2019,14.9,41.37,674.2163636,36172,Kharif,654713.2
,paddy,YADADRI,2019,15.15,40.63,553.403125,31137,Kharif,563579.7
,paddy,ADILABAD,2018,12.46,41.66,884.2918056,31125,Kharif,544687.5
,paddy,BHADRADRI,2018,15.98,41.41,976.2786957,35690,Kharif,624575
,paddy,HYDERABAD,2018,17.75,39.8,635.1501563,37027,Kharif,647972.5
,paddy,JAGTIAL,2018,13.81,42.12,695.97875,32645,Kharif,571287.5
,paddy,JANGAON,2018,15.21,40.52,682.6244231,37075,Kharif,648812.5
,paddy,JAYASHANKAR,2018,13.75,42.09,973.075,37901,Kharif,663267.5
,paddy,JOGULAMBA,2018,16.6,40.57,453.645625,38323,Kharif,670652.5
,paddy,KAMAREDDY,2018,13.47,40.66,686.9798864,29974,Kharif,524545
,paddy,KARIMNAGAR,2018,14.29,41.84,646.7978125,30457,Kharif,532997.5
,paddy,KHAMMAM,2018,17.28,41.22,714.6277381,30347,Kharif,531072.5
,paddy,KOMARAM BHEEM,2018,12.41,41.67,857.882,34537,Kharif,604397.5
,paddy,MAHABUBABAD,2018,15.28,41.49,807.1160938,33561,Kharif,587317.5
,paddy,MAHABUBNAGAR,2018,15.48,40.06,474.7356731,36034,Kharif,630595
,paddy,MANCHERIAL,2018,13.37,42.55,831.5677778,35961,Kharif,629317.5
,paddy,MEDAK,2018,14.14,40.07,616.112875,39090,Kharif,684075
,paddy,MEDCHAL MALKAJG,2018,15.58,39.91,632.5989286,30262,Kharif,529585
,paddy,NAGARKURNOOL,2018,15.58,39.9,429.269625,32585,Kharif,570237.5
,paddy,NALGONDA,2018,17.15,41.18,546.1699194,34162,Kharif,597835
,paddy,NIRMAL,2018,13.33,41.83,803.0723684,39469,Kharif,690707.5
,paddy,NIZAMABAD,2018,14.22,41.39,703.7388889,36098,Kharif,631715
,paddy,PEDDAPALLI,2018,14.06,42.38,714.3871429,37808,Kharif,661640
,paddy,RAJANNA,2018,12.84,41.38,635.6290385,30918,Kharif,541065
,paddy,RANGAREDDY,2018,14.66,39.1,491.5461111,30800,Kharif,539000
,paddy,SANGAREDDY,2018,13.67,39.63,612.2584615,37839,Kharif,662182.5
,paddy,SIDDIPET,2018,13.8,39.92,597.5453409,34051,Kharif,595892.5
,paddy,SURYAPET,2018,17.51,41.36,585.3026087,39114,Kharif,684495
,paddy,VIKARABAD,2018,14.49,39.32,609.0333333,39117,Kharif,684547.5
,paddy,WANAPARTHY,2018,16.89,40.41,488.7001786,38929,Kharif,681257.5
,paddy,WARANGAL RURAL,2018,14.71,41.22,851.1166667,35007,Kharif,612622.5
,paddy,WARANGAL URBAN,2018,15.09,41.29,808.2336364,34147,Kharif,597572.5
,paddy,YADADRI,2018,15.31,40.33,513.0085938,30917,Kharif,541047.5
,chilli,ADILABAD,2020,12.34,42.66,1130.15,2373,Rabi,212383.5
,chilli,BHADRADRI,2020,16.42,42.65,1145.008696,3163,Rabi,283088.5
,chilli,HYDERABAD,2020,17.52,41.88,885.48125,0,Rabi,0
,chilli,JAGTIAL,2020,12.84,43.34,960.3555556,3370,Rabi,301615
,chilli,JANGAON,2020,15.99,41.87,978.6769231,2896,Rabi,259192
,chilli,JAYASHANKAR,2020,14.45,42.74,1135.705,2230,Rabi,199585
,chilli,JOGULAMBA,2020,16.79,42.73,540,3063,Rabi,274138.5
,chilli,KAMAREDDY,2020,13.45,42.33,1096.881818,3004,Rabi,268858
,chilli,KARIMNAGAR,2020,14.99,42.86,900.4125,2777,Rabi,248541.5
,chilli,KHAMMAM,2020,17.66,42.25,777.5047619,3078,Rabi,275481
,chilli,KOMARAM BHEEM,2020,12.65,42.13,1119.48,3245,Rabi,290427.5
,chilli,MAHABUBABAD,2020,16.19,42.95,938.4625,2590,Rabi,231805
,chilli,MAHABUBNAGAR,2020,15.42,42.19,579.4384615,2189,Rabi,195915.5
,chilli,MANCHERIAL,2020,14.15,42.94,1116.6,2373,Rabi,212383.5
,chilli,MEDAK,2020,13.57,42.09,1005.09,2318,Rabi,207461
,chilli,MEDCHAL MALKAJG,2020,15.78,41.72,946.8857143,2874,Rabi,257223
,chilli,NAGARKURNOOL,2020,15.79,42.24,543.63,2732,Rabi,244514
,chilli,NALGONDA,2020,17.13,42.72,785.216129,2272,Rabi,203344
,chilli,NIRMAL,2020,13.39,42.97,1247.821053,2648,Rabi,236996
,chilli,NIZAMABAD,2020,13.68,42.79,1252.888889,2176,Rabi,194752
,chilli,PEDDAPALLI,2020,14.89,42.81,941.8571429,3413,Rabi,305463.5
,chilli,RAJANNA,2020,13.15,42.95,1018.907692,2095,Rabi,187502.5
,chilli,RANGAREDDY,2020,14.39,41.39,635.7481481,3005,Rabi,268947.5
,chilli,SANGAREDDY,2020,12.83,41.8,942.6538462,3094,Rabi,276913
,chilli,SIDDIPET,2020,14.57,41.56,894.1818182,2907,Rabi,260176.5
,chilli,SURYAPET,2020,17.53,42.48,764.6434783,3347,Rabi,299556.5
,chilli,VIKARABAD,2020,14.04,41.63,943.2,3121,Rabi,279329.5
,chilli,WANAPARTHY,2020,17.18,42.46,572.2,2164,Rabi,193678
,chilli,WARANGAL RURAL,2020,15.17,42.37,1075.166667,2445,Rabi,218827.5
,chilli,WARANGAL URBAN,2020,15.79,42.57,1290.163636,2185,Rabi,195557.5
,chilli,YADADRI,2020,15.99,41.75,719.83125,2260,Rabi,202270
,chilli,ADILABAD,2019,12.69,41.62,848.3227778,1977,Rabi,168835.8
,chilli,BHADRADRI,2019,15.89,41.41,908.6626087,3214,Rabi,274475.6
,chilli,HYDERABAD,2019,17.67,39.85,774.113125,2248,Rabi,191979.2
,chilli,JAGTIAL,2019,13.49,42.14,540.5316667,2284,Rabi,195053.6
,chilli,JANGAON,2019,14.92,40.56,597.5669231,2460,Rabi,210084
,chilli,JAYASHANKAR,2019,13.76,42.04,815.85,2322,Rabi,198298.8
,chilli,JOGULAMBA,2019,16.42,40.7,525.2658333,1860,Rabi,158844
,chilli,KAMAREDDY,2019,13.21,40.59,757.7286364,2491,Rabi,212731.4
,chilli,KARIMNAGAR,2019,14.33,41.97,585.4225,2559,Rabi,218538.6
,chilli,KHAMMAM,2019,16.93,41.13,789.8538095,3281,Rabi,280197.4
,chilli,KOMARAM BHEEM,2019,12.73,41.52,654.488,2829,Rabi,241596.6
,chilli,MAHABUBABAD,2019,14.93,41.27,805.589375,3283,Rabi,280368.2
,chilli,MAHABUBNAGAR,2019,14.97,40.5,569.9465385,2999,Rabi,256114.6
,chilli,MANCHERIAL,2019,13.61,42.67,628.4933333,2907,Rabi,248257.8
,chilli,MEDAK,2019,13.78,40.25,563.8815,2946,Rabi,251588.4
,chilli,MEDCHAL MALKAJG,2019,15.64,40.28,804.51,2753,Rabi,235106.2
,chilli,NAGARKURNOOL,2019,15.29,39.95,422.9185,2088,Rabi,178315.2
,chilli,NALGONDA,2019,16.6,41.07,534.0377419,3242,Rabi,276866.8
,chilli,NIRMAL,2019,13.25,41.49,691.0947368,2602,Rabi,222210.8
,chilli,NIZAMABAD,2019,14.04,41.19,617.5703704,2472,Rabi,211108.8
,chilli,PEDDAPALLI,2019,13.76,42.17,549.5485714,3382,Rabi,288822.8
,chilli,RAJANNA,2019,12.78,41.48,526.4469231,2788,Rabi,238095.2
,chilli,RANGAREDDY,2019,14.6,39.61,578.7140741,2910,Rabi,248514
,chilli,SANGAREDDY,2019,13.57,39.79,661.6261538,2472,Rabi,211108.8
,chilli,SIDDIPET,2019,13.76,40.15,593.945,2989,Rabi,255260.6
,chilli,SURYAPET,2019,16.75,41.01,601.9147826,2058,Rabi,175753.2
,chilli,VIKARABAD,2019,14.1,40.01,521.8055556,2546,Rabi,217428.4
,chilli,WANAPARTHY,2019,16.49,40.71,504.1507143,1980,Rabi,169092
,chilli,WARANGAL RURAL,2019,14.67,41.3,834.2066667,2876,Rabi,245610.4
,chilli,WARANGAL URBAN,2019,14.9,41.37,674.2163636,2780,Rabi,237412
,chilli,YADADRI,2019,15.15,40.63,553.403125,3430,Rabi,292922
,chilli,ADILABAD,2018,12.46,41.66,884.2918056,1903,Rabi,144247.4
,chilli,BHADRADRI,2018,15.98,41.41,976.2786957,2605,Rabi,197459
,chilli,HYDERABAD,2018,17.75,39.8,635.1501563,1914,Rabi,145081.2
,chilli,JAGTIAL,2018,13.81,42.12,695.97875,1916,Rabi,145232.8
,chilli,JANGAON,2018,15.21,40.52,682.6244231,3086,Rabi,233918.8
,chilli,JAYASHANKAR,2018,13.75,42.09,973.075,2500,Rabi,189500
,chilli,JOGULAMBA,2018,16.6,40.57,453.645625,2076,Rabi,157360.8
,chilli,KAMAREDDY,2018,13.47,40.66,686.9798864,1860,Rabi,140988
,chilli,KARIMNAGAR,2018,14.29,41.84,646.7978125,2982,Rabi,226035.6
,chilli,KHAMMAM,2018,17.28,41.22,714.6277381,2532,Rabi,191925.6
,chilli,KOMARAM BHEEM,2018,12.41,41.67,857.882,1994,Rabi,151145.2
,chilli,MAHABUBABAD,2018,15.28,41.49,807.1160938,3078,Rabi,233312.4
,chilli,MAHABUBNAGAR,2018,15.48,40.06,474.7356731,1942,Rabi,147203.6
,chilli,MANCHERIAL,2018,13.37,42.55,831.5677778,3254,Rabi,246653.2
,chilli,MEDAK,2018,14.14,40.07,616.112875,3364,Rabi,254991.2
,chilli,MEDCHAL MALKAJG,2018,15.58,39.91,632.5989286,2682,Rabi,203295.6
,chilli,NAGARKURNOOL,2018,15.58,39.9,429.269625,2316,Rabi,175552.8
,chilli,NALGONDA,2018,17.15,41.18,546.1699194,3183,Rabi,241271.4
,chilli,NIRMAL,2018,13.33,41.83,803.0723684,3113,Rabi,235965.4
,chilli,NIZAMABAD,2018,14.22,41.39,703.7388889,3011,Rabi,228233.8
,chilli,PEDDAPALLI,2018,14.06,42.38,714.3871429,2920,Rabi,221336
,chilli,RAJANNA,2018,12.84,41.38,635.6290385,1864,Rabi,141291.2
,chilli,RANGAREDDY,2018,14.66,39.1,491.5461111,2433,Rabi,184421.4
,chilli,SANGAREDDY,2018,13.67,39.63,612.2584615,2197,Rabi,166532.6
,chilli,SIDDIPET,2018,13.8,39.92,597.5453409,2890,Rabi,219062
,chilli,SURYAPET,2018,17.51,41.36,585.3026087,2045,Rabi,155011
,chilli,VIKARABAD,2018,14.49,39.32,609.0333333,2437,Rabi,184724.6
,chilli,WANAPARTHY,2018,16.89,40.41,488.7001786,2263,Rabi,171535.4
,chilli,WARANGAL RURAL,2018,14.71,41.22,851.1166667,2911,Rabi,220653.8
,chilli,WARANGAL URBAN,2018,15.09,41.29,808.2336364,2276,Rabi,172520.8
,chilli,YADADRI,2018,15.31,40.33,513.0085938,2623,Rabi,198823.4
,bengal gram,ADILABAD,2020,12.34,42.66,1130.15,1551,Rabi,75611.25
,bengal gram,BHADRADRI,2020,16.42,42.65,1145.008696,0,Rabi,0
,bengal gram,HYDERABAD,2020,17.52,41.88,885.48125,0,Rabi,0
,bengal gram,JAGTIAL,2020,12.84,43.34,960.3555556,1299,Rabi,63326.25
,bengal gram,JANGAON,2020,15.99,41.87,978.6769231,1299,Rabi,63326.25
,bengal gram,JAYASHANKAR,2020,14.45,42.74,1135.705,1299,Rabi,63326.25
,bengal gram,JOGULAMBA,2020,16.79,42.73,540,657,Rabi,32028.75
,bengal gram,KAMAREDDY,2020,13.45,42.33,1096.881818,1340,Rabi,65325
,bengal gram,KARIMNAGAR,2020,14.99,42.86,900.4125,1299,Rabi,63326.25
,bengal gram,KHAMMAM,2020,17.66,42.25,777.5047619,1299,Rabi,63326.25
,bengal gram,KOMARAM BHEEM,2020,12.65,42.13,1119.48,1881,Rabi,91698.75
,bengal gram,MAHABUBABAD,2020,16.19,42.95,938.4625,1299,Rabi,63326.25
,bengal gram,MAHABUBNAGAR,2020,15.42,42.19,579.4384615,1299,Rabi,63326.25
,bengal gram,MANCHERIAL,2020,14.15,42.94,1116.6,1299,Rabi,63326.25
,bengal gram,MEDAK,2020,13.57,42.09,1005.09,1060,Rabi,51675
,bengal gram,MEDCHAL MALKAJG,2020,15.78,41.72,946.8857143,1299,Rabi,63326.25
,bengal gram,NAGARKURNOOL,2020,15.79,42.24,543.63,1299,Rabi,63326.25
,bengal gram,NALGONDA,2020,17.13,42.72,785.216129,1299,Rabi,63326.25
,bengal gram,NIRMAL,2020,13.39,42.97,1247.821053,1173,Rabi,57183.75
,bengal gram,NIZAMABAD,2020,13.68,42.79,1252.888889,1558,Rabi,75952.5
,bengal gram,PEDDAPALLI,2020,14.89,42.81,941.8571429,1299,Rabi,63326.25
,bengal gram,RAJANNA,2020,13.15,42.95,1018.907692,1299,Rabi,63326.25
,bengal gram,RANGAREDDY,2020,14.39,41.39,635.7481481,1477,Rabi,72003.75
,bengal gram,SANGAREDDY,2020,12.83,41.8,942.6538462,1421,Rabi,69273.75
,bengal gram,SIDDIPET,2020,14.57,41.56,894.1818182,1423,Rabi,69371.25
,bengal gram,SURYAPET,2020,17.53,42.48,764.6434783,1299,Rabi,63326.25
,bengal gram,VIKARABAD,2020,14.04,41.63,943.2,1576,Rabi,76830
,bengal gram,WANAPARTHY,2020,17.18,42.46,572.2,1299,Rabi,63326.25
,bengal gram,WARANGAL RURAL,2020,15.17,42.37,1075.166667,1299,Rabi,63326.25
,bengal gram,WARANGAL URBAN,2020,15.79,42.57,1290.163636,1299,Rabi,63326.25
,bengal gram,YADADRI,2020,15.99,41.75,719.83125,1299,Rabi,63326.25
,bengal gram,ADILABAD,2020,12.69,41.62,848.3227778,1742,Rabi,80480.4
,bengal gram,BHADRADRI,2020,15.89,41.41,908.6626087,1516,Rabi,70039.2
